"Time","Source","Destination","Duration"
"06:06:43.601456","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.001300"
"06:06:43.641764","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.040308"
"06:06:43.643361","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.001597"
"06:06:43.774047","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.046082"
"06:06:43.790076","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000953"
"06:06:43.800398","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.010322"
"06:06:43.802337","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.001939"
"06:06:43.845399","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.018620"
"06:06:43.846987","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.001588"
"06:06:43.978063","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.096894"
"06:06:43.981305","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003242"
"06:06:43.981781","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000476"
"06:06:44.000429","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.016439"
"06:06:44.030212","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.005051"
"06:06:44.050039","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.019827"
"06:06:44.050129","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.000090"
"06:06:44.070768","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.020639"
"06:06:45.262566","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.127996"
"06:06:45.266121","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.003555"
"06:06:45.561568","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.082998"
"06:06:45.596735","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.035167"
"06:06:45.596804","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.000069"
"06:06:45.643108","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.046304"
"06:06:45.773032","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.098278"
"06:06:45.777010","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.003978"
"06:06:45.891098","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.092455"
"06:06:45.894282","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003184"
"06:06:45.894861","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000579"
"06:06:45.973906","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.075126"
"06:06:46.170886","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.037929"
"06:06:46.174791","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.002465"
"06:06:46.185928","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.004065"
"06:06:47.013333","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.029317"
"06:06:47.017106","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.003773"
"06:06:47.322472","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.188552"
"06:06:47.429946","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.087840"
"06:06:47.436406","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.006460"
"06:06:47.483132","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.023613"
"06:06:47.540998","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.004757"
"06:06:47.665588","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.090089"
"06:06:48.036394","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.020383"
"06:06:48.039577","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003183"
"06:06:48.040141","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000564"
"06:06:48.109290","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.000134"
"06:06:48.275993","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.140874"
"06:06:48.279275","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.003282"
"06:06:48.580934","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.084047"
"06:06:48.603418","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.022484"
"06:06:48.603484","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.000066"
"06:06:48.647025","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.014237"
"06:06:48.705468","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.058443"
"06:06:48.708604","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003136"
"06:06:48.709281","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000677"
"06:06:48.750106","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.040825"
"06:06:48.763651","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.013545"
"06:06:48.768235","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.004584"
"06:06:48.801010","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.020076"
"06:06:48.817763","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.016753"
"06:06:49.372783","52.139.172.218","166.104.142.119","0.128320"
