"Time","Source","Destination","Info"
"06:06:37.063289","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=1873 Ack=2690 Win=42 Len=0 TSval=66058000 TSecr=121296"
"06:06:37.109239","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:37.112494","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=1873 Ack=3086 Win=42 Len=0 TSval=66058049 TSecr=121306"
"06:06:37.112956","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:37.167374","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:37.189801","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=779 Ack=990 Win=1372 Len=0 TSval=1896024966 TSecr=3599064907"
"06:06:37.191996","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=3086 Ack=1920 Win=3872 Len=0 TSval=121311 TSecr=66058050"
"06:06:37.218497","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:37.226500","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=779 Ack=1166 Win=1372 Len=0 TSval=1896025019 TSecr=3599064920"
"06:06:37.659130","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:37.663005","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:37.671935","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=3491 Ack=1967 Win=3872 Len=0 TSval=121362 TSecr=66058600"
"06:06:37.721011","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:37.724374","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","https(443)  >  35156 [ACK] Seq=1166 Ack=908 Win=360 Len=0 TSval=3599065046 TSecr=1896025514"
"06:06:38.041255","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:38.079888","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=3491 Ack=2234 Win=3931 Len=0 TSval=121402 TSecr=66058978"
"06:06:38.080001","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:38.127106","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=2234 Ack=3538 Win=42 Len=0 TSval=66059064 TSecr=121403"
"06:06:38.184825","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:38.188096","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=2234 Ack=3935 Win=42 Len=0 TSval=66059125 TSecr=121413"
"06:06:38.188674","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:38.236775","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=3935 Ack=2281 Win=3931 Len=0 TSval=121419 TSecr=66059125"
"06:06:38.249013","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:38.327180","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=908 Ack=1236 Win=1372 Len=0 TSval=1896026111 TSecr=3599065177"
"06:06:39.111834","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:39.115603","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:39.147889","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=4341 Ack=2328 Win=3931 Len=0 TSval=121509 TSecr=66060052"
"06:06:40.179202","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","[TCP Keep-Alive] https(443)  >  37390 [ACK] Seq=2327 Ack=4341 Win=42 Len=0 TSval=66061116 TSecr=121509"
